unit_id,condition,repetition,iteration,passed
PPK_ASSERT/test/ppk_assert_test.cpp,A: compiler stderr,3,2,False
PPK_ASSERT/test/ppk_assert_test.cpp,A: compiler stderr,3,3,False
PPK_ASSERT/test/ppk_assert_test.cpp,A: compiler stderr,3,4,False
PPK_ASSERT/test/ppk_assert_test.cpp,A: compiler stderr,3,5,True
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,0,0,False
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,0,1,True
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,1,0,False
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,1,1,False
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,1,2,False
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,1,3,True
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,2,0,False
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,2,1,True
PPK_ASSERT/test/ppk_assert_test.cpp,B: stderr + LSP diagnostics,3,0,True
